activity_multiplier,animal_residue_pct,battery_level_percent,battery_maintenance_event,bin_index,collection_delay_minutes,collection_event,collection_threshold_percent,college_calendar_closed,date_index,day_of_week,dominant_waste_code,event_code,fill_level_percent,fish_meat_pct,friday_effect_active,green_other_pct,gross_waste_generation_kg,holiday_code,hour,hours_since_last_collection,humidity_percent,informal_recovery_kg,institution_status_code,is_collection_due,is_durga_puja_school_break,is_eid_day,is_eid_fitr_day,is_eid_fitr_period,is_eid_period,is_friday_prayer_window,is_packet_loss,is_public_holiday,is_ramadan,is_sensor_anomaly,is_special_working_day,is_weekend,metal_glass_pct,needs_collection,office_calendar_closed,organic_food_pct,overflow_kg,paper_cardboard_pct,plastic_pct,predicted_fill_level_percent,predicted_overflow_kg_4h,rainfall_mm_hour,school_calendar_closed,season_code,sensor_error_code,temperature_c,textile_pct,time_slot_code,timestamp_unix,true_fill_level_percent,waste_bulk_density_kg_m3,waste_entering_bin_kg,waste_volume_liter,weather_code
0.6984,2,99.2359,0,0,0,0,80,0,0,2,0,0,14.4832,3,0,13,0.705182,0,0,2.26682,76.5052,0.0856428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,32,0,16,21,17.3733,0,0,0,0,0,15.4149,7,0,1735668000,16.4865,223.214,0.619539,2.77554,0
0.5626,2,95.6678,0,1,0,0,80,0,0,2,0,0,5.51597,7,0,5,0.712431,0,0,2.34783,74.5081,0.0426213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,57,0,6,16,7.55651,0,0,0,0,0,13.9027,4,0,1735668000,8.43589,254.822,0.669809,2.62853,0
0.8924,1,99.279,0,2,0,0,80,0,0,2,0,0,11.5477,5,0,11,1.53388,0,0,6.19724,73.2639,0.0921647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,46,0,11,16,16.7248,0,0,0,0,0,13.9154,5,0,1735668000,9.06929,239.106,1.44171,6.02961,0
0.2134,4,97.2712,0,3,0,0,75,0,0,2,4,0,20.8202,4,0,18,0.314525,0,0,5.96398,69.8276,0.0230296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,19,0,26,19,20.7959,0,0,0,0,0,14.5102,5,0,1735668000,18.6452,214.397,0.291495,1.3596,0
0.8924,0,95.2386,0,4,0,0,75,0,0,2,0,0,13.1791,5,0,10,3.28352,0,0,2.67906,75.2879,0.1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,46,0,11,18,24.16,0,0,0,0,0,13.9921,4,0,1735668000,13.8597,243.775,3.17202,13.0121,0
0.8924,2,95.8679,0,5,0,0,75,0,0,2,0,0,23.8919,4,0,10,3.88834,0,0,1.00282,75.1559,0.169299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,53,0,8,13,49.8473,0,0,0,0,0,14.3494,7,0,1735668000,25.2249,238.873,3.71904,15.5691,0
0.2134,1,99.649,0,6,0,0,80,0,0,2,4,0,13.6344,4,0,19,0.121898,0,0,1.13828,73.3519,0.013756,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,23,0,26,14,13.5589,0,0,0,0,0,14.2232,7,0,1735668000,11.0847,219.582,0.108142,0.492488,0
0.97,3,98.558,0,7,0,0,72,0,0,2,0,0,19.8717,4,0,9,1.63723,0,0,6.59604,74.3542,0.0461795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,57,0,10,10,19.6375,0,0,0,0,0,14.4702,6,0,1735668000,19.1713,231.982,1.59105,6.85849,0
0.2134,1,99.2362,0,8,0,0,75,0,0,2,4,0,20.497,2,0,18,0.287405,0,0,5.78932,76.7286,0.0312537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,25,0,28,19,23.2584,0,0,0,0,0,13.7367,4,0,1735668000,20.0387,179.674,0.256151,1.42564,0
0.679,1,97.3821,0,9,0,0,75,0,0,2,1,0,19.901,56,0,9,1.02178,0,0,3.78822,77.295,0.0140969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,18,0,2,9,22.4417,0,0,0,0,0,14.6104,2,0,1735668000,19.8108,397.741,1.00769,2.53352,0
0.8924,0,98.3118,0,10,0,0,75,0,0,2,0,0,19.9144,5,0,10,1.12066,0,0,3.60798,76.8474,0.0395409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,52,0,9,16,29.0955,0,0,0,0,0,14.9984,4,0,1735668000,21.1216,239.976,1.08112,4.50512,0
0.388,3,96.4833,0,11,0,0,75,0,0,2,5,0,15.4223,0,0,13,0.46432,0,0,2.24091,78.7503,0.13553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,0,6,8,14.548,0,0,0,0,0,13.6931,51,0,1735668000,14.5454,168.144,0.32879,1.95541,0
0.679,2,99.3636,0,12,0,0,75,0,0,2,1,0,8.12786,63,0,8,1.19979,0,0,4.69416,75.3456,0.0141019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,3,8,13.2741,0,0,0,0,0,13.8245,0,0,1735668000,9.36658,416.983,1.18568,2.84348,0
0.5335,2,99.6407,0,13,0,0,80,0,0,2,3,0,10.6617,2,0,11,0.232262,0,0,1.42673,75.1798,0.00808841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,32,0,13,34,14.8224,0,0,0,0,0,14.5672,2,0,1735668000,12.4194,201.535,0.224173,1.11233,0
0.8924,0,97.0014,0,14,0,0,75,0,0,2,0,0,21.4369,5,0,10,1.46041,0,0,3.20528,76.2654,0.0424692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,51,0,12,15,26.0378,0,0,0,0,0,14.3078,5,0,1735668000,19.2314,221.792,1.41794,6.39309,0
0.2134,1,98.862,0,15,0,0,80,0,0,2,0,0,14.3853,3,0,10,0.144384,0,0,6.62281,74.5626,0.012492,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,35,0,23,21,15.999,0,0,0,0,0,14.2806,3,0,1735668000,15.9748,203.769,0.131892,0.647261,0
0.8924,0,97.727,0,16,0,0,80,0,0,2,0,0,10.7357,5,0,10,1.36246,0,0,6.57807,75.784,0.0584363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,47,0,13,17,19.6096,0,0,0,0,0,13.9328,4,0,1735668000,12.7599,229.47,1.30403,5.68277,0
0.1746,0,99.6022,0,17,0,0,80,0,0,2,4,0,21.4226,3,0,15,0.102841,0,0,1.51453,73.7913,0.00805361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,28,0,30,17,22.0202,0,0,0,0,0,14.3795,4,0,1735668000,21.7958,187.608,0.0947874,0.505243,0
0.8924,1,99.8047,0,18,0,0,75,0,0,2,0,0,9.2394,4,0,11,1.70562,0,0,4.57001,71.5415,0.0347432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,53,0,9,16,15.611,0,0,0,0,0,14.1366,4,0,1735668000,8.80693,224.215,1.67088,7.45213,0
0.97,0,97.7859,0,19,0,0,72,0,0,2,0,0,11.1257,6,0,8,1.43184,0,0,2.59768,77.3129,0.0671964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,59,0,7,11,22.1198,0,0,0,0,0,14.9872,6,0,1735668000,13.9452,243.795,1.36465,5.59752,0
0.1746,1,97.1428,0,20,0,0,80,0,0,2,4,0,21.6713,3,0,16,0.102937,0,0,6.63975,72.6696,0.00408397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,0,29,20,23.6162,0,0,0,0,0,14.5821,3,0,1735668000,20.5564,175.77,0.0988531,0.5624,0
0.8924,2,99.0524,0,21,0,0,75,0,0,2,0,0,15.8645,5,0,10,2.7107,0,0,4.49032,74.7028,0.0967377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,51,0,10,16,25.8579,0,0,0,0,0,13.9149,3,0,1735668000,15.8299,237.793,2.61396,10.9926,0
0.97,2,95.5979,0,22,0,0,72,0,0,2,0,0,13.0722,5,0,11,0.649774,0,0,6.04139,74.9643,0.0315614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,57,0,5,12,12.6758,0,0,0,0,0,13.7698,5,0,1735668000,12.0403,255.711,0.618213,2.41762,0
0.1746,0,97.2069,0,23,0,0,80,0,0,2,4,0,10.911,3,0,15,0.100563,0,0,2.86141,74.3102,0.0039456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,30,21,13.682,0,0,0,0,0,15.4018,2,0,1735668000,11.2819,165.872,0.0966174,0.582481,0
0.679,2,97.0943,0,24,0,0,75,0,0,2,1,0,16.1082,61,0,7,1.24941,0,0,2.21269,76.5582,0.0153958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,3,9,16.4175,0,0,0,0,0,14.1625,1,0,1735668000,16.5703,406.145,1.23401,3.03835,0
0.5626,0,95.0667,0,25,0,0,80,0,0,2,0,0,14.151,9,0,6,0.478585,0,0,2.4464,73.0249,0.026247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,54,0,8,17,14.9881,0,0,0,0,0,15.024,2,0,1735668000,12.2305,253.684,0.452338,1.78307,0
0.2134,1,98.7663,0,26,0,0,80,0,0,2,0,0,16.8355,4,0,19,0.154561,0,0,5.82722,74.039,0.0218628,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,26,0,25,16,15.5166,0,0,0,0,0,14.3369,4,0,1735668000,16.5071,209.496,0.132698,0.633416,0
